SaleID,CustomerID,WineDesignation,Quantity,SaleAmount,SaleDate
1,1408,Marquis de Perlade Blanc de Blancs Brut,4,180.2615912709212,2023-01-21
2,100,Origin 1866,2,370.24392776953596,2022-07-18
3,1077,Rancho del Oso,2,376.16070079889334,2024-03-11
4,4895,Les Fontenys Premier Cru,5,67.42279822240266,2022-08-12
5,868,Sémillon/Sauvignon/Muscadelle,3,116.50876740252149,2023-12-26
6,1438,Wieden & Berg,4,317.7432821339613,2022-12-14
7,1879,The Autograph,5,188.2916612072499,2024-05-18
8,3791,Adolsen Vineyard,5,12.682327351971722,2022-09-17
9,267,Liebfrauenstift-Kirchenstück Spätlese,4,431.8847230301096,2023-12-16
10,1395,Seleccion,2,229.39246489595502,2022-11-27
11,4357,30th Anniversary Cuvée Estate Vineyard,2,305.72432327338726,2023-08-18
12,692,Champ Perdrix,1,477.93681858586945,2022-07-25
13,4277,Gaisberg Reserve,5,107.10551917045716,2023-05-16
14,2937,Tudor Hills Vineyard,1,425.75338445346824,2022-10-16
15,2133,Fourchaume Premier Cru,5,17.86425314717116,2023-06-20
16,4663,Saunders Vineyard Estate Grown,5,264.08445912997774,2023-08-03
17,2360,Frattey Shams Vineyard,3,369.3923539676961,2022-11-03
18,1143,Coroa D'Ouro,2,28.544392799558356,2022-10-21
19,3055,Emotion Sec,1,303.0674859455249,2023-03-04
20,2671,Oscar's Branco,5,87.57754148139334,2022-12-09
21,2022,Michaela's Reserve,3,234.21542096335173,2023-07-18
22,1798,Monte Rosso Vineyard Reserve,1,113.89914128409501,2023-07-30
23,3412,Spumante Brut,2,123.96421485899299,2023-08-12
24,2761,Bátoreus,4,241.65965278478092,2023-09-12
25,2539,Lot 179,4,261.7473121505922,2023-08-30
26,3394,Lot 13 Vineyard,4,377.9608727844314,2023-02-17
27,3337,Premium Select,4,310.078361769912,2024-05-07
28,3332,Allegra,2,283.3021313680236,2022-10-16
29,2279,Whistling Ridge Vineyard,2,267.6369352040881,2023-06-10
30,2303,Pasiteo,1,201.69152566358255,2024-05-14
31,4410,Grand Cru Hengst Wintzenheim,1,470.3254247336749,2023-04-09
32,3871,Lumière,5,308.7879787815335,2023-11-11
33,4292,Bergdistel Smaragd,1,389.0799588291912,2023-11-26
34,3395,Rotenpüllen,3,211.74889795248419,2023-01-14
35,2929,Ilico,1,347.0306402672889,2024-04-11
36,982,Napoleon,3,267.13713423654696,2023-05-30
37,2888,Redoma Reserva,5,253.96157234651454,2023-12-14
38,4158,Reserve,2,230.96490596838143,2022-07-01
39,3413,Alluvial,3,145.52869157534855,2023-12-31
40,2071,Cuvée Jean-Gabriel,2,184.9346651151871,2023-12-02
41,1783,Unterebner,2,218.86170708873456,2022-08-05
42,4369,Arpad's Selection,4,476.4033542182186,2024-01-15
43,2928,Early,5,207.46050384169496,2022-06-25
44,3623,KrimSekt White Matured Semi-Dry,1,372.2338882245896,2023-08-21
45,122,Vila Santa Reserva,1,55.67071859655452,2022-09-13
46,2628,Chuy,1,360.0319197345143,2022-09-02
