,Unnamed: 0,country,description,designation,points,price,province,region_1,region_2,taster_name,taster_twitter_handle,title,variety,winery
0,55405,US,"This will appeal to lots of people. It's made in the popular style, bearing y ripe citrus, tropical fruit and honey flavors that are set into a creamy texture. It finishes with a touch of smoky, buttery oak.",,87,24.0,California,California,California Other,,,Fleuron 2010 Chardonnay (California),Chardonnay,Fleuron
1,43847,Italy,"Aromas suggest leafy underbrush, espresso and toasted oak. The evolved palate offers coffee, roasted hazelnut and dried red berry alongside fleeting tannins.",Sandrina,85,24.0,Piedmont,Langhe,,Kerin O’Keefe,@kerinokeefe,Prinsi 2011 Sandrina Nebbiolo (Langhe),Nebbiolo,Prinsi
2,26345,US,"While a bit demure in character, this full-bodied, dry Pinot Gris boasts fresh apple, pear and lemon notes. Crisp citrus acidity shines on the finish. Drink now.",,86,16.0,New York,Cayuga Lake,Finger Lakes,Anna Lee C. Iijima,,Hosmer 2014 Pinot Gris (Cayuga Lake),Pinot Gris,Hosmer
3,123222,US,"This unusual rosé blends Merlot rosé with substantial portions of Chardonnay, Cabernet Franc and Gewürztraminer, highlighting textural and flavor attributes from each. It's luscious in mouthfeel with a dense concentration of tropical fruit flavors, yet brisk and effortlessly quaffable. A delightful new take on a Hamptons classic.",Summer in a Bottle,90,24.0,New York,Long Island,Long Island,Anna Lee C. Iijima,,Wölffer 2014 Summer in a Bottle Rosé (Long Island),Rosé,Wölffer
4,91817,South Africa,"An aromatic nose of pepper, violets and a touch of spice leads this likeable Cab from Le Bonheur. On the palate, elegant overall flavors of berry, spice and smoke and balanced tannins give the wine complexity and and a food-friendly character.",,86,22.0,Simonsberg-Stellenbosch,,,Susan Kostrzewa,@suskostrzewa,Le Bonheur 2005 Cabernet Sauvignon (Simonsberg-Stellenbosch),Cabernet Sauvignon,Le Bonheur
5,122252,US,"Dry and refined in fine-grained tannin, this long-standing vineyard-designate dances in black leather and brambly blackberry, which expand gradually on the palate, peppered by baking spices. Soft and velvety, the finish lingers in spice.",Estate Home Ranch,90,58.0,California,Alexander Valley,Sonoma,Virginie Boone,@vboone,Seghesio 2012 Estate Home Ranch Zinfandel (Alexander Valley),Zinfandel,Seghesio
6,78815,Italy,"Notes of chocolate fudge, cherry, toasted vanilla and espresso peel off layer after layer to reveal a true star of the Valpolicella. The wine has elements of both classic and modern winemaking with warm oak notes on the heels of red apple and tart cherry.",Cà Florian,93,90.0,Veneto,Amarone della Valpolicella Classico,,,,Tommasi 2004 Cà Florian  (Amarone della Valpolicella Classico),"Corvina, Rondinella, Molinara",Tommasi
7,63383,New Zealand,"Grassy and borderline pungent in character, there's nevertheless enough white grapefruit to support the wine and give it a refreshing, citrusy core. It's not that rich or weighty, but boasts a pleasant silky texture and a bright, clean finish.",Premium Selection,88,17.0,Marlborough,,,Joe Czerwinski,@JoeCz,Yealands 2013 Premium Selection Sauvignon Blanc (Marlborough),Sauvignon Blanc,Yealands
8,71368,Italy,"Delicately fragrant, this opens with aromas of underbrush, blue flower, game, red berry and menthol. The aromas carry over to the ethereal palate along with a note of savory grilled herb and white pepper. Supple tannins and vibrant acidity provide support while a saline note closes the finish.",Ginestreto,88,38.0,Tuscany,Rosso di Montalcino,,Kerin O’Keefe,@kerinokeefe,Fuligni 2014 Ginestreto  (Rosso di Montalcino),Sangiovese,Fuligni
9,129693,Spain,"Roasted, burnt, savory aromas of black fruits, char and campfire announce that this Merlot spent time in toasty oak. In the mouth, this is fresh but full bodied, with staunch tannins. Flavors of foresty blackberry, plum, vanilla and fall leaves finish dry and tannic.",Deyo,87,18.0,Northern Spain,Navarra,,Michael Schachner,@wineschach,Castillo de Monjardin 2009 Deyo Merlot (Navarra),Merlot,Castillo de Monjardin
10,20540,US,"This estate-grown offering was a standout among several dozen tasted for a feature story. It's loaded with bright fruit flavors of grapefruit and pear, and even in the warm 2012 vintage, it maintains the grape's signature minerality, while moving gracefully into a detailed, focused finish.",,92,18.0,Oregon,Eola-Amity Hills,Willamette Valley,Paul Gregutt,@paulgwine ,Bethel Heights 2012 Pinot Blanc (Eola-Amity Hills),Pinot Blanc,Bethel Heights
11,70160,Italy,"Red rose and blue floral aromas accompanied by wafts of black fruit and spice lead the nose on this bright Chianti Classico. The lively, juicy palate offers bright sour cherry and raspberry accented by notes of sage and thyme. The palate is restrained by fresh acidity, while solid but ripe tannins stay to the finish. This wine cries out for a hearty dish of pasta or mildly seasoned cheeses.",Le Masse di Greve,89,25.0,Tuscany,Chianti Classico,,Kerin O’Keefe,@kerinokeefe,Lanciola 2010 Le Masse di Greve  (Chianti Classico),Red Blend,Lanciola
12,86949,US,"Scores high on the deliciousness factor, a softly gentle, rich wine with flavors of blackberry jam, cassis, cedar and fine, dried herbs. The winery is trying very hard to boost the quality of their Reserve Cab. The challenge is to build in those extra layers of complexity and depth.",Reserve,90,50.0,California,Alexander Valley,Sonoma,,,Rodney Strong 2005 Reserve Cabernet Sauvignon (Alexander Valley),Cabernet Sauvignon,Rodney Strong
13,93155,France,"Since this wine comes from a big Rhône producer, it's no surprise the blend is 50% Grenache Blanc. The other 50% is Sauvignon Blanc. It is an effective, balanced medley, with the fat Grenache given a burst of freshness by the Sauvignon. The wine is light, lively and fruity. Drink now.",La Châsse Sauvignon-Grenache,86,10.0,France Other,Vin de France,,Roger Voss,@vossroger,Gabriel Meffre 2015 La Châsse Sauvignon-Grenache White (Vin de France),White Blend,Gabriel Meffre
14,27382,Argentina,"Gritty aromas of saddle leather, horse hide and pickled berries filter into a choppy feeling palate with briny and herbal flavors. There's also notes of berries and salt. A chewy finish has weight, structure and saucy, pickled flavors of savory berry fruits.",Reserva,86,25.0,Mendoza Province,Mendoza,,Michael Schachner,@wineschach,Don Miguel Gascón 2010 Reserva Malbec (Mendoza),Malbec,Don Miguel Gascón
15,12550,US,"Three months in stainless steel result in a very pale wine with aromas of lemon peel and grapefruit flesh. The palate is painted with bright, citrus zest acidity throughout, yet retains the varietal's flavors of nectarine flesh and yellow melons. It makes a leading option for the unoaked crowd.",Metallico Un-Oaked,88,22.0,California,Monterey,Central Coast,Matt Kettmann,@mattkettmann,Morgan 2013 Metallico Un-Oaked Chardonnay (Monterey),Chardonnay,Morgan
16,29833,France,"A cherry-flavored wine, this is all fruit with a bright layer of acidity and hint of tannins. Juicy and full of freshness, it needs a few months; drink from 2018.",Belairissime Domaine des Ailes,88,19.0,Beaujolais,Moulin-à-Vent,,Roger Voss,@vossroger,Vignerons de Bel Air 2016 Belairissime Domaine des Ailes  (Moulin-à-Vent),Gamay,Vignerons de Bel Air
17,87843,Italy,"Fresh and bright, this wine is rich with wild berries, cassis and white cherry aromas that would pair perfectly with home-cooked pasta and meat dishes. It's natural acidity will cut through the rich consistency of those foods.",,88,30.0,Tuscany,Rosso di Montalcino,,,,La Poderina 2009  Rosso di Montalcino,Sangiovese Grosso,La Poderina
18,62511,US,"Sometimes a young Pinot is deceptive. This wine is young and silky, supple and fruity and has some sharp acidity, but it doesn't overwhelm. It's the kind of wine that doesn't overshadow food. But it's excellent Pinot. The depth of flavor and long finish suggest aging possibilities, but there's no reason not to drink and enjoy it now.",Mills Vineyard,91,55.0,California,Mount Harlan,Central Coast,,,Calera 1997 Mills Vineyard Pinot Noir (Mount Harlan),Pinot Noir,Calera
19,43218,Italy,"Cerviolo is a blend that builds in intensity on the palate, offering excellent extraction and a distinctive mix of Christmas spice followed by dry flowers and red fruit. This wine has loads of personality, jackhammer tannins and natural licorice and spice nuances on the finish. But those tannins definitely need more time to relax, so drink after 2012.",Cerviolo,92,49.0,Tuscany,Toscana,,,,San Fabiano Calcinaia 2004 Cerviolo Red (Toscana),Red Blend,San Fabiano Calcinaia
